"Sr. No.","State","work","work_id","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2490","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241233","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","17-Aug-2026","MAIHER SHAKTI ENTERPRISES","Payment In-Progress","448400"
"2491","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241240","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","14-Aug-2026","MAIHER SHAKTI ENTERPRISES","Payment In-Progress","950372"
"2492","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2024-2025/155623","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","28-Jul-2026","VLWC President Thimmasamudram","Payment In-Progress","486736"
"2493","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2024-2025/151573","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","28-Jul-2026","VLWC President Thimmasamudram","Payment In-Progress","495008"
"2494","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241136","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","11-Aug-2026","UJJAWAL ENTERPRISES","Payment In-Progress","327450"
"2495","Chhattisgarh","Construction of community centers and community halls","WS/MP18049/2026-2027/273879","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","TOKHAN SAHU","BILASPUR","28-Jul-2026","Gram Panchayat Khaira La","Payment In-Progress","1000000"
"2496","West Bengal","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18254/2026-2027/208657","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","JUNE MALIAH","MEDINIPUR","13-Aug-2026","ASIR BARAN ROY","Payment In-Progress","1615346"
"2497","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18225/2025-2026/257603","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","27-Jul-2026","R D MAURYA","Payment In-Progress","844098"
"2498","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18206/2025-2026/234486","CHITRAKOOT(DISTRICT MAGISTRATE CHITRAKOOT_IDA)","KRISHNA DEVI SHIVSHANKER PATEL","BANDA","11-Aug-2026","DR RAM MANOHAR LOHIYA SHIKSHA SANSTHAN","Payment In-Progress","499531"
"2499","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247258","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","01-Aug-2026","HIMMAT","Payment In-Progress","15600"
"2500","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18108/2026-2027/282360","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","20-Aug-2026","Gram Panchayat Heerapur","Payment In-Progress","150000"
"2501","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18108/2026-2027/282359","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","DR. LATA WANKHEDE","SAGAR","20-Aug-2026","Gram Panchayat Heerapur","Payment In-Progress","150000"
"2502","Punjab","Setting up of kitchen and pantries","WS/MP18158/2025-2026/237229","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","30-Jul-2026","Karanveer Singh","Payment In-Progress","18000"
"2503","Punjab","Setting up of kitchen and pantries","WS/MP18158/2025-2026/237229","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","30-Jul-2026","Karanveer Singh","Payment In-Progress","200"
"2504","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/194822","NANDED(DISTRICT COLLECTOR NANDED_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","10-Aug-2026","Gram Panchayat Sirapalli Tq Himayatnagar","Payment In-Progress","986317"
"2505","Punjab","Construction of stadiums","WS/MP18311/2025-2026/272255","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Aug-2026","BARKAT AND SONS","Payment In-Progress","78000"
"2506","Assam","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18021/2026-2027/286164","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","RAKIBUL HUSSAIN","DHUBRI","18-Aug-2026","STN MSR PROTECTION UZIRAR CHAR JAIPARA","Payment In-Progress","600000"
"2507","Tamil Nadu","Construction of additional rooms and halls in the existing public and community building","WS/MP18176/2025-2026/199095","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","18-Aug-2026","ANBARASU","Payment In-Progress","1300000"
"2508","Tamil Nadu","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18179/2026-2027/245278","Mayiladuthurai(District Collector Mayiladuthurai_IDA)","SUDHA R","MAYILADUTHURAI","01-Aug-2026","T Soundarapandiyan","Payment In-Progress","698521"
"2509","Karnataka","Construction of community centers and community halls","WS/MP623/2026-2027/247138","VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA)","Ramesh Chandappa Jigajinagi","BIJAPUR(SC)","07-Aug-2026","RAVI  S KATNALLI","Payment In-Progress","371250"
"2510","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2026-2027/292679","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","21-Aug-2026","GRAM PANCHAYAT CHARURI","Payment In-Progress","100000"
"2511","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2026-2027/292680","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","21-Aug-2026","GRAM PANCHAYAT CHARURI","Payment In-Progress","50000"
"2512","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2026-2027/291475","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","26-Aug-2026","GRAM PANCHAYAT CHARURI","Payment In-Progress","125000"
"2513","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2026-2027/257783","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","26-Aug-2026","GRAM PANCHAYAT KHANNI JHIKLI","Payment In-Progress","65000"
"2514","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18136/2026-2027/195290","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","AMAR SHARADRAO KALE","WARDHA","17-Aug-2026","President pulgaon MKSSS Ltd Pulgaon","Payment In-Progress","1000000"
"2515","Rajasthan","Providing supply pipelines for drinking water","WS/MP18170/2025-2026/197325","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","10-Aug-2026","NEHRA ELECTRICALS AND CONSTRUCTION COMPNAY","Payment In-Progress","42242"
"2516","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18025/2026-2027/280735","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","25-Aug-2026","OM ENTERPRISE","Payment In-Progress","74919"
"2517","Odisha","Construction of community centers and community halls","WS/MP18142/2025-2026/263801","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","01-Aug-2026","ANATHA SAHOO","Payment In-Progress","486157"
"2518","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247258","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","01-Aug-2026","DEVI LAL KUMAWAT","Payment In-Progress","7800"
"2519","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247258","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","01-Aug-2026","MOHAN LAL KUMAWAT","Payment In-Progress","7800"
"2520","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247258","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","01-Aug-2026","BABU LAL","Payment In-Progress","7800"
"2521","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247258","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","01-Aug-2026","DHAN RAJ","Payment In-Progress","7800"
"2522","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247258","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","01-Aug-2026","KAILASH PURI","Payment In-Progress","15600"
"2523","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247258","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","01-Aug-2026","MAMTA KUMAWAT","Payment In-Progress","6720"
"2524","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247258","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","01-Aug-2026","POOJA KUMAWAT","Payment In-Progress","6720"
"2525","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247258","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","01-Aug-2026","PARASI DEVI","Payment In-Progress","5320"
"2526","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247258","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","01-Aug-2026","SHAYRI DEVI","Payment In-Progress","3360"
"2527","Andhra Pradesh","Installing community drinking water plants","WS/MP529/2025-2026/216077","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","07-Aug-2026","VINS Infra Projects","Payment In-Progress","714250"
"2528","Rajasthan","Installing tube-wells and borewells","WS/MP18167/2025-2026/216828","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","21-Aug-2026","Lucky Constructions","Payment In-Progress","97332"
"2529","Rajasthan","Installing tube-wells and borewells","WS/MP18167/2025-2026/268144","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","21-Aug-2026","Lucky Constructions","Payment In-Progress","552277"
"2530","Tamil Nadu","Construction of community centers and community halls","WS/MP18179/2026-2027/245289","Mayiladuthurai(District Collector Mayiladuthurai_IDA)","SUDHA R","MAYILADUTHURAI","05-Aug-2026","MAGA BUILDERS","Payment In-Progress","1333598"
"2531","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2025-2026/246754","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","05-Aug-2026","PREDEEP KUMAR","Payment In-Progress","724103"
"2532","Andhra Pradesh","Construction of community centers and community halls","WS/MP403/2025-2026/246191","PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA)","Magunta Sreenivasulu Reddy","ONGOLE","31-Jul-2026","NALAM RAVI TEJA CONTRACTOR","Payment In-Progress","1199137"
"2533","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/222413","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","25-Aug-2026","Gram Panchayat Trembli","Payment In-Progress","70000"
"2534","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP381/2026-2027/275555","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","07-Aug-2026","BHILLOWAL TRADERS","Payment In-Progress","100500"
"2535","Karnataka","Construction of buildings for community cultural activities","WS/MP18079/2025-2026/182394","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","SAGAR ESHWAR KHANDRE","BIDAR","06-Aug-2026","PRAKASH","Payment In-Progress","1875000"
"2536","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18170/2025-2026/240396","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","14-Aug-2026","BHABHA SHREE INFRATECH","Payment In-Progress","305937"
"2537","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/240971","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","12-Aug-2026","BHAGAWATI ENTERPRISES","Payment In-Progress","512474"
"2538","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18174/2026-2027/270411","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","24-Aug-2026","M Vivekanandhan","Payment In-Progress","599972"
"2539","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272840","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","21-Aug-2026","MPLAD Holding Account Jujomura Block","Payment In-Progress","17265"
"2540","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272770","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","25-Aug-2026","MPLAD Holding Account Jujomura Block","Payment In-Progress","30245"
"2541","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264630","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","04-Aug-2026","CHHOTU LAL MEENA","Payment In-Progress","359000"
"2542","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241157","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","07-Aug-2026","RAGHAV CONSTRUCTION","Payment In-Progress","697616"
"2543","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP578/2026-2027/262529","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","25-Aug-2026","LIMAJ GRAM PANCHAYAT","Payment In-Progress","348538"
"2544","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272840","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","21-Aug-2026","PABITRA MOHAN LENKA TC","Payment In-Progress","675384"
"2545","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18356/2026-2027/228794","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","PRIYANKA SATISH JARKIHOLI","CHIKKODI","03-Aug-2026","ABHISHEK JAMBU MOHITE","Payment In-Progress","375000"
"2546","Chhattisgarh","Construction of culverts and bridges","WS/MP18048/2026-2027/278657","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","13-Aug-2026","Gram Panchayt Chapapadar","Payment In-Progress","225000"
"2547","Karnataka","Construction of community centers and community halls","WS/MP18091/2026-2027/175624","MYSURU(DEPUTY COMMISSIONER MYSORE_IDA)","YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","MYSORE","17-Aug-2026","SUNIL","Payment In-Progress","300000"
"2548","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18058/2025-2026/274768","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","21-Aug-2026","Samantpura Gram Panchayat","Payment In-Progress","250932"
"2549","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","SAMPAT NATH","Payment In-Progress","3408"
"2550","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","JAMNA","Payment In-Progress","3408"
"2551","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","MAHENDRA SINGH","Payment In-Progress","3408"
"2552","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","BINTU NATH","Payment In-Progress","3408"
"2553","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","FATMA","Payment In-Progress","3408"
"2554","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","BAHADUR SINGH","Payment In-Progress","3408"
"2555","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","LALI KANWER","Payment In-Progress","3408"
"2556","Gujarat","Installing community drinking water plants","WS/MP18059/2025-2026/248209","VALSAD(DISTRICT COLLECTOR VALSAD_IDA)","DHAVAL LAXMANBHAI PATEL","VALSAD(ST)","05-Aug-2026","GRAM PANCHYAT MOTIWADA NEW","Payment In-Progress","500000"
"2557","Gujarat","Installing community drinking water plants","WS/MP18059/2025-2026/248208","VALSAD(DISTRICT COLLECTOR VALSAD_IDA)","DHAVAL LAXMANBHAI PATEL","VALSAD(ST)","05-Aug-2026","GRAM PANCHYAT MOTIWADA NEW","Payment In-Progress","500000"
"2558","Gujarat","Installing community drinking water plants","WS/MP18059/2025-2026/248205","VALSAD(DISTRICT COLLECTOR VALSAD_IDA)","DHAVAL LAXMANBHAI PATEL","VALSAD(ST)","05-Aug-2026","GRAM PANCHYAT MOTIWADA NEW","Payment In-Progress","500000"
"2559","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/177897","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","18-Aug-2026","Geetanjali Pidika","Payment In-Progress","300000"
"2560","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2026-2027/177905","RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","18-Aug-2026","Rao Adhikari Srinivasa","Payment In-Progress","250000"
"2561","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/243750","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","24-Aug-2026","KKG","Payment In-Progress","99639"
"2562","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/243750","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","24-Aug-2026","KKG","Payment In-Progress","192359"
"2563","West Bengal","Construction of rooms and halls in school and colleges","WS/MP18248/2025-2026/181253","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","DR. SHARMILA SARKAR","BARDHAMAN PURBA(SC)","17-Aug-2026","MD SAHABAT HOSSAIN","Payment In-Progress","248606"
"2564","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","MOHHMAD RIYAJUDHAN","Payment In-Progress","12294"
"2565","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP381/2026-2027/275246","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","25-Aug-2026","Raghbir Singh","Payment In-Progress","74520"
"2566","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/269191","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","GRAM PANCHAYAT TIKKAR","Payment In-Progress","30000"
