"Sr. No.","State","work","work_id","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7938","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/185909","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","17-Apr-2026","Ambalal jat","Payment Success","10920"
"7939","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/185909","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","17-Apr-2026","Ganesh gurjar","Payment Success","3640"
"7940","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP331/2025-2026/207246","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Jugal Kishore Sharma","JAMMU","22-Apr-2026","BISHAN SINGH","Payment Success","168000"
"7941","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP331/2025-2026/207247","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Jugal Kishore Sharma","JAMMU","22-Apr-2026","GULZAR BIBI","Payment Success","130800"
"7942","Jammu And Kashmir","Construction of culverts and bridges","WS/MP331/2025-2026/175494","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Jugal Kishore Sharma","JAMMU","22-Apr-2026","DHARM VIR SINGH","Payment Success","324500"
"7943","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275115","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","02-Jul-2026","Sarpanch Gram Panchayat khamhi","Payment Success","249000"
"7944","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275115","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","22-Apr-2026","Sarpanch Gram Panchayat khamhi","Payment Success","250000"
"7945","Uttar Pradesh","Lighting of public spaces","WS/MP507/2025-2026/196288","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","Ashok Kumar Rawat","MISRIKH(SC)","28-Apr-2026","SHRI GURU KRIPA NARSINGH ASSOSIATES","Payment Success","9415694"
"7946","Uttar Pradesh","Lighting of public spaces","WS/MP507/2025-2026/196288","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","Ashok Kumar Rawat","MISRIKH(SC)","28-Apr-2026","SHRI GURU KRIPA NARSINGH ASSOSIATES","Payment Success","9415694"
"7947","Uttar Pradesh","Lighting of public spaces","WS/MP507/2025-2026/196288","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","Ashok Kumar Rawat","MISRIKH(SC)","28-Apr-2026","SHRI GURU KRIPA NARSINGH ASSOSIATES","Payment Success","8956790"
"7948","Uttar Pradesh","Lighting of public spaces","WS/MP507/2025-2026/196288","KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)","Ashok Kumar Rawat","MISRIKH(SC)","15-Apr-2026","SHRI GURU KRIPA NARSINGH ASSOSIATES","Payment Success","9415694"
"7949","Punjab","Construction of rooms and halls in school and colleges","WS/MP18155/2025-2026/188544","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-May-2026","Parbdeal","Payment Success","90000"
"7950","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP632/2025-2026/171210","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","27-Apr-2026","SAJID K A","Payment Success","428819"
"7951","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP632/2025-2026/142067","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","14-May-2026","SAJID K A","Payment Success","496079"
"7952","Punjab","Construction of rooms and halls in school and colleges","WS/MP18155/2025-2026/188544","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-May-2026","Kuldeep Kumar","Payment Success","90000"
"7953","Jammu And Kashmir","Construction of boundary walls of existing public and community buildings","WS/MP600/2025-2026/237646","RAMBAN(Deputy Commissioner Ramban_IDA)","Jitendra Singh","UDHAMPUR","17-Apr-2026","Sh Sadham Hussain So Mohd Rafiq Ro Janoori Dehdah Distt Ramban 182144 Contractor","Payment Success","144600"
"7954","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275113","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","20-Apr-2026","Sarpanch Gram Panchayat Narsingpur","Payment Success","250000"
"7955","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275113","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","13-Aug-2026","Sarpanch Gram Panchayat Narsingpur","Payment Success","246500"
"7956","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275110","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","15-Apr-2026","Sarpanch Gram Panchayat Pouni","Payment Success","150000"
"7957","Punjab","Providing drains and gutters for public drainage","WS/MP380/2025-2026/209161","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","17-Apr-2026","Davinder Singh BKO","Payment Success","11250"
"7958","Bihar","Construction of rooms and halls in school and colleges","WS/MP422/2025-2026/207595","SUPAUL(DISTRICT PLANNING OFFICER SUPAUL_IDA)","Dileshwar Kamait","SUPAUL","27-Apr-2026","SUDHANSHU KUMAR","Payment Success","1487721"
"7959","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/151106","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","16-May-2026","Thordi Gram Panchayat","Payment Success","300000"
"7960","Maharashtra","Construction of community centers and community halls","WS/MP18127/2026-2027/253700","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","30-Jun-2026","SHREE YOGESHWAR SAHAKARI MAJOOR BANDHKAM SANSTHA LTD","Payment Success","1489900"
"7961","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP710/2026-2027/280787","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Vaithilingam Ve","Puducherry","15-May-2026","SWAMINATHAN S","Payment Success","1443833"
"7962","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260468","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
